	-log10(fdr_BH)	log2(fold_change)	Gene
sp|A0A0B4J2D5|GAL3B_HUMAN Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3B PE=5 SV=1	0.0979647827162031	0.07954636308207033	GATD3B
sp|A0A0U1RRL7|MMPOS_HUMAN Protein MMP24OS OS=Homo sapiens OX=9606 GN=MMP24OS PE=1 SV=1	0.6164167495722651	-0.2938152432097866	MMP24OS
sp|A0A2R8Y4L2|RA1L3_HUMAN Heterogeneous nuclear ribonucleoprotein A1-like 3 OS=Homo sapiens OX=9606 GN=HNRNPA1L3 PE=4 SV=1	1.834157172402228	-0.13805180680687545	HNRNPA1L3
sp|A0A3B3IU46|RMACL_HUMAN RNA guanine-N7 methyltransferase-activating subunit-like protein OS=Homo sapiens OX=9606 GN=RAMACL PE=3 SV=1	0.12773473683723352	0.08413736660554892	RAMACL
sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	0.6264071062816365	0.34788565047744846	UBA6
sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1	0.431824199950245	0.1334921788393064	ESYT2
sp|A1L0T0|HACL2_HUMAN 2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2	0.03199106158650665	0.01442102101566567	ILVBL
sp|A1X283|SPD2B_HUMAN SH3 and PX domain-containing protein 2B OS=Homo sapiens OX=9606 GN=SH3PXD2B PE=1 SV=3	0.47477305656981034	0.18149043954049682	SH3PXD2B
sp|A2RRP1|NBAS_HUMAN NBAS subunit of NRZ tethering complex OS=Homo sapiens OX=9606 GN=NBAS PE=1 SV=2	0.1087982953174849	-0.07064037670246925	NBAS
sp|A5A3E0|POTEF_HUMAN POTE ankyrin domain family member F OS=Homo sapiens OX=9606 GN=POTEF PE=1 SV=2	2.365222365982065	-0.07714176502808368	POTEF
sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	1.6326901996646932	-0.3638617704518675	CNOT1
sp|A6NCE7|MP3B2_HUMAN Microtubule-associated proteins 1A/1B light chain 3 beta 2 OS=Homo sapiens OX=9606 GN=MAP1LC3B2 PE=1 SV=1	0.4449265860853416	0.1363208034405708	MAP1LC3B2
sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1	0.5953636793849195	0.19318103433133849	PGP
sp|A6NFA0|S31F3_HUMAN Protein SPATA31F3 OS=Homo sapiens OX=9606 GN=SPATA31F3 PE=3 SV=2	0.12268512002282896	0.01658581174921414	SPATA31F3
sp|A6NHG4|DDTL_HUMAN D-dopachrome decarboxylase-like protein OS=Homo sapiens OX=9606 GN=DDTL PE=2 SV=1	1.5255427363478415	-0.4360046035105744	DDTL
sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2	2.3438178776884744	0.2967019909228385	SMCHD1
sp|A8CG34|P121C_HUMAN Nuclear envelope pore membrane protein POM 121C OS=Homo sapiens OX=9606 GN=POM121C PE=1 SV=3	1.058480502019993	-0.45166978880316133	POM121C
sp|A8K0Z3|WASH1_HUMAN WASH complex subunit 1 OS=Homo sapiens OX=9606 GN=WASHC1 PE=1 SV=2	7.405575437594162	1.92314740332577	WASHC1
sp|A8MWD9|RUXGL_HUMAN Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens OX=9606 GN=SNRPGP15 PE=5 SV=2	1.7855495991768882	-0.4917941599323769	SNRPGP15
sp|B7ZAQ6|GPHRA_HUMAN Golgi pH regulator A OS=Homo sapiens OX=9606 GN=GPR89A PE=1 SV=2	1.1756571936499367	-0.36832754296695147	GPR89A
sp|C4AMC7|WASH3_HUMAN Putative WAS protein family homolog 3 OS=Homo sapiens OX=9606 GN=WASH3P PE=1 SV=2	8.911689544131713	-3.0642119182902574	WASH3P
sp|C9JLW8|MCRI1_HUMAN Mapk-regulated corepressor-interacting protein 1 OS=Homo sapiens OX=9606 GN=MCRIP1 PE=1 SV=1	0.0053678926746707325	0.0012889863271099734	MCRIP1
sp|E9PAV3|NACAM_HUMAN Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1	0.6802547264247429	-0.1024096245726227	NACA
sp|E9PRG8|CK098_HUMAN Uncharacterized protein C11orf98 OS=Homo sapiens OX=9606 GN=C11orf98 PE=4 SV=2	0.527682941089428	-0.16160065066663887	C11orf98
sp|L0R6Q1|S35U4_HUMAN SLC35A4 upstream open reading frame protein OS=Homo sapiens OX=9606 GN=SLC35A4 PE=3 SV=1	0.9243561964421781	-0.3820791922921213	SLC35A4
sp|O00116|ADAS_HUMAN Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1	0.006641892796181221	-0.0025805779872684065	AGPS
sp|O00139|KIF2A_HUMAN Kinesin-like protein KIF2A OS=Homo sapiens OX=9606 GN=KIF2A PE=1 SV=3	0.3113921361400287	0.13698387564287418	KIF2A
sp|O00148|DX39A_HUMAN ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2	1.4934187652439872	-0.12387162003494256	DDX39A
sp|O00151|PDLI1_HUMAN PDZ and LIM domain protein 1 OS=Homo sapiens OX=9606 GN=PDLIM1 PE=1 SV=4	0.6362919290621193	0.12232485340196719	PDLIM1
sp|O00154|BACH_HUMAN Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=3	1.6060624230217833	-0.32399134794116347	ACOT7
sp|O00159|MYO1C_HUMAN Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4	0.7748567239072898	-0.11426538493791394	MYO1C
sp|O00161|SNP23_HUMAN Synaptosomal-associated protein 23 OS=Homo sapiens OX=9606 GN=SNAP23 PE=1 SV=1	0.030598011978560703	-0.013243045319385804	SNAP23
sp|O00165|HAX1_HUMAN HCLS1-associated protein X-1 OS=Homo sapiens OX=9606 GN=HAX1 PE=1 SV=2	1.9210406962529047	-0.4895665962159477	HAX1
sp|O00170|AIP_HUMAN AH receptor-interacting protein OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=3	0.0053678926746707325	0.006689602705369113	AIP
sp|O00186|STXB3_HUMAN Syntaxin-binding protein 3 OS=Homo sapiens OX=9606 GN=STXBP3 PE=1 SV=2	0.0843422378927219	-0.08678882215343076	STXBP3
sp|O00193|SMAP_HUMAN Small acidic protein OS=Homo sapiens OX=9606 GN=SMAP PE=1 SV=1	0.04654205546682012	0.0384231798387939	SMAP
sp|O00194|RB27B_HUMAN Ras-related protein Rab-27B OS=Homo sapiens OX=9606 GN=RAB27B PE=1 SV=4	1.8015822055361013	0.6623198850638975	RAB27B
sp|O00203|AP3B1_HUMAN AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3	0.17237368116679044	-0.03330995411450338	AP3B1
sp|O00214|LEG8_HUMAN Galectin-8 OS=Homo sapiens OX=9606 GN=LGALS8 PE=1 SV=4	0.12397291791855737	-0.04801483515110272	LGALS8
sp|O00217|NDUS8_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS8 PE=1 SV=1	0.4202919343135019	-0.11334662063374712	NDUFS8
sp|O00231|PSD11_HUMAN 26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3	0.5273016983414215	-0.06298802760592292	PSMD11
sp|O00232|PSD12_HUMAN 26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3	0.21282331826554673	-0.043603048079419726	PSMD12
sp|O00233|PSMD9_HUMAN 26S proteasome non-ATPase regulatory subunit 9 OS=Homo sapiens OX=9606 GN=PSMD9 PE=1 SV=3	0.09394652101337536	0.08000546562753379	PSMD9
sp|O00244|ATOX1_HUMAN Copper transport protein ATOX1 OS=Homo sapiens OX=9606 GN=ATOX1 PE=1 SV=1	0.0022479485761778884	0.0016283034074766611	ATOX1
sp|O00264|PGRC1_HUMAN Membrane-associated progesterone receptor component 1 OS=Homo sapiens OX=9606 GN=PGRMC1 PE=1 SV=3	2.71051861659132	-0.3563250630488488	PGRMC1
sp|O00267|SPT5H_HUMAN Transcription elongation factor SPT5 OS=Homo sapiens OX=9606 GN=SUPT5H PE=1 SV=1	0.44837922341538733	0.14268490586624394	SUPT5H
sp|O00273|DFFA_HUMAN DNA fragmentation factor subunit alpha OS=Homo sapiens OX=9606 GN=DFFA PE=1 SV=1	0.7358216091661114	0.34878927726987874	DFFA
sp|O00291|HIP1_HUMAN Huntingtin-interacting protein 1 OS=Homo sapiens OX=9606 GN=HIP1 PE=1 SV=5	1.3450673765243502	-0.3913040463382551	HIP1
sp|O00299|CLIC1_HUMAN Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4	0.34525558336772655	-0.06550390040918397	CLIC1
sp|O00303|EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1	2.103631587261467	-0.29858501821638483	EIF3F
sp|O00330|ODPX_HUMAN Pyruvate dehydrogenase protein X component, mitochondrial OS=Homo sapiens OX=9606 GN=PDHX PE=1 SV=3	0.6306462945317696	-0.35413503137569213	PDHX
sp|O00399|DCTN6_HUMAN Dynactin subunit 6 OS=Homo sapiens OX=9606 GN=DCTN6 PE=1 SV=1	1.1523588629947934	-0.45126361193102904	DCTN6
sp|O00401|WASL_HUMAN Actin nucleation-promoting factor WASL OS=Homo sapiens OX=9606 GN=WASL PE=1 SV=2	0.12550749806058145	0.06862214184001991	WASL
sp|O00410|IPO5_HUMAN Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4	0.11115012436818278	0.01670021743956207	IPO5
